"Subject" "Activity" "smartDomain" "smartAcceleration" "smartInstrument" "smartJerk" "smartMagnitude" "smartStatistic" "smartAxis" "count" "average"
"28" 1 1 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 95 -0.113615602435789
"29" 1 1 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 95 0.0670025007684211
"30" 1 1 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 95 -0.502699788526316
"31" 1 1 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 95 -0.141428809031579
"32" 1 1 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 95 -0.0744717500625263
"33" 1 1 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "X" 95 0.935223201473684
"34" 1 1 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Y" 95 -0.282165021263158
"35" 1 1 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Z" 95 -0.068102864
"36" 1 1 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "X" 95 -0.976609642526316
"37" 1 1 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Y" 95 -0.971305961473684
"38" 1 1 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Z" 95 -0.947717226105263
"39" 1 1 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "mean" "NA" 95 -0.136971176556842
"40" 1 1 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "sd" "NA" 95 -0.219688645631579
"41" 1 1 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "X" 95 -0.339032197115789
"42" 1 1 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 95 -0.103059416434737
"43" 1 1 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 95 -0.255940940315789
"44" 1 1 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "X" 95 -0.516691938736842
"45" 1 1 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 95 -0.0335081597884211
"46" 1 1 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 95 -0.436562227473684
"47" 1 1 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 95 -0.199252568986316
"48" 1 1 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 95 -0.321017953894737
"49" 1 1 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 95 -0.319308593778947
"50" 1 1 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 95 -0.381601911789474
"51" 1 1 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "X" 95 -0.202794306326316
"52" 1 1 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 95 0.0897127264021053
"53" 1 1 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 95 -0.331560117789474
"54" 1 1 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "X" 95 -0.319134719578947
"55" 1 1 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 95 0.056040006846
"56" 1 1 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 95 -0.279686751494737
"57" 1 1 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 95 -0.128623450629474
"58" 1 1 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 95 -0.398032586842105
"59" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 95 -0.170546964549579
"60" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 95 -0.0352255241130632
"61" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 95 -0.468999224631579
"62" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 95 -0.133586606326316
"63" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 95 0.106739857136
"64" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 95 -0.534713440421053
"65" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 95 -0.0571194000343158
"66" 1 1 "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 95 -0.103492403002105
"67" 1 2 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "X" 53 0.050549379754717
"68" 1 2 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 53 -0.166170015088679
"69" 1 2 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 53 0.0583595463981132
"70" 1 2 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "X" 53 -0.544871104528302
"71" 1 2 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 53 0.00410518379811321
"72" 1 2 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 53 -0.50716867490566
"73" 1 2 "Time" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 53 -0.126735589969811
"74" 1 2 "Time" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 53 -0.14861931805283
"75" 1 2 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "X" 53 -0.122232768011321
"76" 1 2 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Y" 53 -0.0421485884509434
"77" 1 2 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Z" 53 -0.0407125527654717
"78" 1 2 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "X" 53 -0.614786508490566
"79" 1 2 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Y" 53 -0.601696656226415
"80" 1 2 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Z" 53 -0.606332002264151
"81" 1 2 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 53 -0.59488286509434
"82" 1 2 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 53 -0.648553044339623
"83" 1 2 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "X" 53 0.255461689622641
"84" 1 2 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 53 -0.0239531492643396
"85" 1 2 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 53 -0.0973020020943396
"86" 1 2 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "X" 53 -0.35470802509434
"87" 1 2 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 53 -0.00232026501698113
"88" 1 2 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 53 -0.0194792388471698
"89" 1 2 "Time" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 53 -0.129927630735849
"90" 1 2 "Time" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 53 -0.324970929245283
"91" 1 2 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 53 0.101372729922642
"92" 1 2 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 53 0.0194863076188679
"93" 1 2 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 53 -0.0455625449113208
"94" 1 2 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 53 -0.446843887735849
"95" 1 2 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 53 -0.378274426037736
"96" 1 2 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 53 -0.706593530943396
"97" 1 2 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 53 -0.466503446226415
"98" 1 2 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 53 -0.478991622075472
"99" 1 2 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "X" 53 0.89335109754717
"100" 1 2 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Y" 53 -0.362153364339623
"101" 1 2 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Z" 53 -0.075402939754717
"102" 1 2 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "X" 53 -0.956367027924528
"103" 1 2 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Y" 53 -0.952849233207547
"104" 1 2 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Z" 53 -0.912379410377358
"105" 1 2 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "mean" "NA" 53 -0.129927630735849
"106" 1 2 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "sd" "NA" 53 -0.324970929245283
"107" 1 2 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "X" 53 -0.492611667924528
"108" 1 2 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 53 -0.319474609056604
"109" 1 2 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 53 -0.453597213018868
"110" 1 2 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "X" 53 -0.565892490754717
"111" 1 2 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 53 0.151538905566038
"112" 1 2 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 53 -0.57170784
"113" 1 2 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 53 -0.325961457396226
"114" 1 2 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 53 -0.182985518264151
"115" 1 2 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 53 -0.634665082075472
"116" 1 2 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 53 -0.693930521509434
"117" 1 2 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "X" 53 -0.404321784150943
"118" 1 2 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 53 -0.190976720811321
"119" 1 2 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 53 -0.433349702075472
"120" 1 2 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "X" 53 -0.337428188679245
"121" 1 2 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 53 0.0217695106566038
"122" 1 2 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 53 0.0859565543849057
"123" 1 2 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 53 -0.352395944716981
"124" 1 2 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 53 -0.416260101509434
"125" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 53 -0.479875245660377
"126" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 53 -0.41344458754717
"127" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 53 -0.685474353962264
"128" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 53 -0.461907025849057
"129" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 53 -0.381777065283019
"130" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 53 -0.726040200754717
"131" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 53 -0.44265216245283
"132" 1 2 "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 53 -0.533059853773585
"133" 1 3 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "X" 49 -0.0350781902989796
"134" 1 3 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 49 -0.0909371290204082
"135" 1 3 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 49 0.0900850142030612
"136" 1 3 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "X" 49 -0.458030542938775
"137" 1 3 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 49 -0.126349194938775
"138" 1 3 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 49 -0.124702454242857
"139" 1 3 "Time" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 49 -0.0757412543673469
"140" 1 3 "Time" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 49 -0.225724368061224
"141" 1 3 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "X" 49 -0.0739592036271429
"142" 1 3 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Y" 49 -0.0439902783367347
"143" 1 3 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Z" 49 -0.0270461061061224
"144" 1 3 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "X" 49 -0.487027342244898
"145" 1 3 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Y" 49 -0.238824827530612
"146" 1 3 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Z" 49 -0.268761480242857
"147" 1 3 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 49 -0.295463843346939
"148" 1 3 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 49 -0.306510645530612
"149" 1 3 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "X" 49 0.289188320408163
"150" 1 3 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 49 -0.00991850461020408
"151" 1 3 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 49 -0.107566190908163
"152" 1 3 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "X" 49 0.0300353383483878
"153" 1 3 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 49 -0.0319359434489796
"154" 1 3 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 49 -0.230434213204082
"155" 1 3 "Time" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 49 0.0271882914106122
"156" 1 3 "Time" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 49 0.0198843506265306
"157" 1 3 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 49 0.0541553164897959
"158" 1 3 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 49 0.0296504490408163
"159" 1 3 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 49 -0.0109719730183673
"160" 1 3 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 49 -0.012283860544898
"161" 1 3 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 49 -0.101601390640816
"162" 1 3 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 49 -0.345735032326531
"163" 1 3 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 49 -0.0894474807979592
"164" 1 3 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 49 -0.0257877197081633
"165" 1 3 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "X" 49 0.931874418979592
"166" 1 3 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Y" 49 -0.266610338979592
"167" 1 3 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Z" 49 -0.0621199585938775
"168" 1 3 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "X" 49 -0.950559811632653
"169" 1 3 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Y" 49 -0.937018658979592
"170" 1 3 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Z" 49 -0.895939695102041
"171" 1 3 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "mean" "NA" 49 0.0271882914106122
"172" 1 3 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "sd" "NA" 49 0.0198843506265306
"173" 1 3 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "X" 49 -0.352449631363265
"174" 1 3 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 49 -0.0557022524693878
"175" 1 3 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 49 -0.0318694271979592
"176" 1 3 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "X" 49 -0.495422486102041
"177" 1 3 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 49 -0.181414728657143
"178" 1 3 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 49 -0.238443565306122
"179" 1 3 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 49 -0.185720285744898
"180" 1 3 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 49 -0.398350390122449
"181" 1 3 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 49 -0.281963359177551
"182" 1 3 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 49 -0.391919876612245
"183" 1 3 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "X" 49 0.0382291831510204
"184" 1 3 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 49 0.00154990783591837
"185" 1 3 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 49 -0.225574471693878
"186" 1 3 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "X" 49 0.0243308391387755
"187" 1 3 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 49 -0.112963739953061
"188" 1 3 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 49 -0.297927894693878
"189" 1 3 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 49 0.0965845343040816
"190" 1 3 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 49 -0.186530301073469
"191" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 49 -0.0276638676122449
"192" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 49 -0.12866715764898
"193" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 49 -0.288334735714286
"194" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 49 -0.0863278966402041
"195" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 49 -0.134580008877551
"196" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 49 -0.401721464285714
"197" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 49 0.0262184949326531
"198" 1 3 "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 49 -0.104052260726531
"199" 1 4 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "X" 47 -0.045350056512766
"200" 1 4 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 47 -0.0919241549361702
"201" 1 4 "Time" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 47 0.0629313811914894
"202" 1 4 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "X" 47 -0.977211283191489
"203" 1 4 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 47 -0.966473895319149
"204" 1 4 "Time" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 47 -0.941425920851064
"205" 1 4 "Time" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 47 -0.93089249
"206" 1 4 "Time" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 47 -0.934531840425532
"207" 1 4 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "X" 47 -0.0936793807234043
"208" 1 4 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Y" 47 -0.0402118124255319
"209" 1 4 "Time" "NA" "Gyroscope" "Jerk" "NA" "mean" "Z" 47 -0.046702627
"210" 1 4 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "X" 47 -0.99173159212766
"211" 1 4 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Y" 47 -0.989518068510638
"212" 1 4 "Time" "NA" "Gyroscope" "Jerk" "NA" "sd" "Z" 47 -0.987935806382979
"213" 1 4 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 47 -0.991976341276596
"214" 1 4 "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 47 -0.988308728510638
"215" 1 4 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "X" 47 0.261237565425532
"216" 1 4 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 47 -0.00130828765170213
"217" 1 4 "Time" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 47 -0.104544182255319
"218" 1 4 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "X" 47 -0.977229008297872
"219" 1 4 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 47 -0.922618641914894
"220" 1 4 "Time" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 47 -0.93958629106383
"221" 1 4 "Time" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 47 -0.948536786170213
"222" 1 4 "Time" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 47 -0.927078418723404
"223" 1 4 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "X" 47 0.0774825199574468
"224" 1 4 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Y" 47 -0.000619102785106384
"225" 1 4 "Time" "Body" "Accelerometer" "Jerk" "NA" "mean" "Z" 47 -0.00336779235021277
"226" 1 4 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "X" 47 -0.986430711276596
"227" 1 4 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Y" 47 -0.981371965319149
"228" 1 4 "Time" "Body" "Accelerometer" "Jerk" "NA" "sd" "Z" 47 -0.987910804468085
"229" 1 4 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "mean" "NA" 47 -0.987364195531915
"230" 1 4 "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "sd" "NA" 47 -0.984120024042553
"231" 1 4 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "X" 47 0.831509933404255
"232" 1 4 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Y" 47 0.204411592680851
"233" 1 4 "Time" "Gravity" "Accelerometer" "NA" "NA" "mean" "Z" 47 0.332043702765957
"234" 1 4 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "X" 47 -0.968457145744681
"235" 1 4 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Y" 47 -0.935517055957447
"236" 1 4 "Time" "Gravity" "Accelerometer" "NA" "NA" "sd" "Z" 47 -0.949040933191489
"237" 1 4 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "mean" "NA" 47 -0.948536786170213
"238" 1 4 "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "sd" "NA" 47 -0.927078418723404
"239" 1 4 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "X" 47 -0.976161464042553
"240" 1 4 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Y" 47 -0.975838585319149
"241" 1 4 "Freq" "NA" "Gyroscope" "NA" "NA" "mean" "Z" 47 -0.951315544468085
"242" 1 4 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "X" 47 -0.977904227021277
"243" 1 4 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Y" 47 -0.962345042553192
"244" 1 4 "Freq" "NA" "Gyroscope" "NA" "NA" "sd" "Z" 47 -0.94391784106383
"245" 1 4 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "mean" "NA" 47 -0.958435589361702
"246" 1 4 "Freq" "NA" "Gyroscope" "NA" "Magnitude" "sd" "NA" 47 -0.932198374893617
"247" 1 4 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "mean" "NA" 47 -0.989797547234043
"248" 1 4 "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "sd" "NA" 47 -0.987049617234043
"249" 1 4 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "X" 47 -0.979641238723404
"250" 1 4 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Y" 47 -0.944084550425532
"251" 1 4 "Freq" "Body" "Accelerometer" "NA" "NA" "mean" "Z" 47 -0.959184889148936
"252" 1 4 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "X" 47 -0.976412313191489
"253" 1 4 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Y" 47 -0.917275006382979
"254" 1 4 "Freq" "Body" "Accelerometer" "NA" "NA" "sd" "Z" 47 -0.934469558085106
"255" 1 4 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "mean" "NA" 47 -0.947782922553192
"256" 1 4 "Freq" "Body" "Accelerometer" "NA" "Magnitude" "sd" "NA" 47 -0.928444801702128
